Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Gαq Signaling	6.25E00	3.86E-01	0.566	AKT1,AKT2,AKT3,CAMK4,CHRM1,CHRM3,EPM2A,GNA14,GNA15,GNB1,GNB1L,GNB2,GNG5,GPLD1,GYS1,HMOX1,IKBKE,IKBKG,MAP2K1,MRAS,NAPEPLD,NFATC1,NFATC3,NFATC4,NFKB2,NFKBIA,NFKBIB,NFKBIE,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCG2,PLD1,PLD5,Pld6,PPP3CA,PRKD3,PTK2B,RAC1,RAC2,RAF1,RELA,RGS2,RGS4,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,ROCK2	
T Cell Receptor Signaling	6.24E00	4.29E-01	NaN	BCL10,BMX,CAMK4,CARD11,FOS,IKBKE,IKBKG,JUN,LCK,MALT1,MAP2K1,MAP2K4,MAP3K1,MRAS,NFAT5,NFATC1,NFATC3,NFATC4,NFKB2,NFKBIA,PAG1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PPP3CA,PTPRC,RAC1,RAF1,RALB,RAP2A,RAP2B,RASA1,RASD1,RASD2,RELA,SHB,SOS2,TEC,TXK,VAV1,VAV3	
Glioblastoma Multiforme Signaling	6.23E00	3.82E-01	-0.272	AKT1,AKT2,AKT3,APC,CCND1,CCNE1,CDKN1A,CDKN1B,E2F2,E2F4,EGF,FZD1,FZD2,FZD3,FZD6,LEF1,MAP2K1,MRAS,MTOR,NF1,NF2,NOTUM,PDGFA,PDGFC,PDGFRB,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PTEN,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,SOS2,WNT11,WNT2B,WNT4,WNT7B,WNT9B	
JAK/Stat Signaling	6.23E00	4.62E-01	1.183	AKT1,AKT2,AKT3,CDKN1A,CEBPB,CISH,FOS,JAK3,JUN,MAP2K1,MRAS,MTOR,NFKB2,PIAS4,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTPN11,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,SOCS1,SOCS3,SOS2,STAT1,STAT2,STAT3,STAT5B,STAT6	
PXR/RXR Activation	6.22E00	4.92E-01	NaN	ABCB1,ABCB9,ABCC2,AKT1,AKT2,AKT3,ALAS1,ALDH1A1,Aldh1a7,ALDH3A2,CES2,CYP2B6,CYP2C8,CYP2C9,CYP3A5,GSTM1,GSTM2,HMGCS2,INSR,NR0B2,NR1I3,NR3C1,PAPSS2,PCK2,PPARA,PRKACB,PRKAR1B,RELA,SCD,TNF,UGT1A1,UGT1A8 (includes others)	
Actin Cytoskeleton Signaling	6.19E00	3.58E-01	0.611	ABI2,ACTB,ACTG1,ACTN4,APC,ARHGAP24,ARHGEF12,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5L,BAIAP2,CD14,CFL1,EGF,EZR,FGD3,FGF1,FGF14,GSN,IQGAP1,IQGAP2,IQGAP3,ITGA2,ITGA4,ITGA5,LIMK1,LIMK2,MAP2K1,MATK,MRAS,MSN,MYH14,MYH7B,MYL10,MYL9,MYLK,MYLK3,MYLPF,PAK1,PAK3,PAK4,PAK6,PDGFA,PDGFC,PFN1,PFN2,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PIP5K1A,Ppp1r12b,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RHOA,ROCK2,SLC9A1,SOS2,SSH1,SSH2,TIAM2,TLN2,VAV1,VAV3,VCL,WASF1	
Apoptosis Signaling	6.18E00	4.34E-01	2.030	BAK1,BCL2,BID,BIRC3,BIRC6,CAPN2,CAPN5,CAPN7,CAPN8,CAPN9,CAPNS1,CASP3,CASP7,CASP8,CDK1,FAS,GAS2,HTRA2,IKBKE,IKBKG,LMNA,MAP2K1,MAP2K4,MRAS,NAIP,Naip1 (includes others),NFKB2,NFKBIA,NFKBIB,NFKBIE,PLCG2,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,RPS6KA1,TNF,TNFRSF1A,TNFRSF1B,XIAP	
ILK Signaling	6.16E00	3.68E-01	1.612	ACTB,ACTG1,ACTN4,AKT1,AKT2,AKT3,ATF2,ATF4,CASP3,CCND1,CDH1,CFL1,CREB3,CREB3L3,CREB3L4,DSP,FLNB,FOS,IRS2,ITGB7,JUN,LEF1,MAP2K4,MAP2K6,MTOR,MYH14,MYH7B,MYL9,NFKB2,NOS2,PDGFC,PGF,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PPM1J,PPM1L,PPP1R14B,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PTEN,RAC1,RAC2,RELA,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RICTOR,RND1,RND2,RPS6KA4,RPS6KA5,SNAI1,SNAI2,TNF,TNFRSF1A,VCL	
Epithelial Adherens Junction Signaling	6.16E00	3.88E-01	NaN	ACTB,ACTG1,ACTN4,ACVR1C,ACVR2A,AKT1,AKT2,AKT3,APC,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5L,BAIAP2,BMPR2,CDH1,CTNND1,EGF,FGF1,HNF1A,IQGAP1,KEAP1,LEF1,MAGI1,MRAS,MYH14,MYH7B,MYL9,NOTCH3,NOTCH4,PTEN,RAC1,RALB,RAP2A,RAP2B,RASD1,RASD2,RHOA,SNAI1,SNAI2,SORBS1,TCF4,TCF7L1,TGFBR1,TUBA1B,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB2A,TUBB2B,TUBB3,TUBG1,VCL,WASF1,YES1,ZYX	
RhoGDI Signaling	6.11E00	3.72E-01	-1.987	ACTB,ACTG1,ARHGAP6,ARHGAP8/PRR5-ARHGAP8,ARHGAP9,ARHGDIA,ARHGDIB,ARHGEF10,ARHGEF12,ARHGEF15,ARHGEF16,ARHGEF18,ARHGEF19,ARHGEF2,ARHGEF3,ARHGEF5,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5L,CDH1,CDH15,CDH22,CDH23,CDH24,CDH26,CFL1,EZR,GNA14,GNA15,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,ITGA2,ITGA4,ITGA5,LIMK1,LIMK2,MRAS,MSN,MYL10,MYL9,MYLPF,PAK1,PAK3,PAK4,PAK6,PIKFYVE,PIP5K1A,RAC1,RAC2,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,ROCK2,WASF1	
Reelin Signaling in Neurons	6.09E00	4.03E-01	0.980	AKT1,AKT2,AKT3,APBB1,ARHGEF10,ARHGEF12,ARHGEF15,ARHGEF16,ARHGEF2,ARHGEF3,ARHGEF5,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5L,CAMK2B,CFL1,CNR1,DAB1,FGR,GRIN2D,GRINA,HCK,ITGA2,ITGA4,ITGA5,LCK,LIMK1,LRP8,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAP4K1,MAPK8IP1,MTOR,NDEL1,PDK2,PDK3,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,RAC1,RHOA,WASF1,YES1	
CD28 Signaling in T Helper Cells	5.97E00	4.08E-01	1.581	AKT1,AKT2,AKT3,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5L,BCL10,CAMK4,CARD11,FOS,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,IKBKE,IKBKG,JUN,LCK,MALT1,MAP2K1,MAP2K4,MAP3K1,NFAT5,NFATC1,NFATC3,NFATC4,NFKB2,NFKBIA,NFKBIB,NFKBIE,PAK1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PPP3CA,PTPN11,PTPRC,RAC1,RELA,VAV1	
Sertoli Cell-Sertoli Cell Junction Signaling	5.96E00	3.68E-01	NaN	ACTB,ACTG1,ACTN4,AKT1,AKT2,AKT3,ATF2,CDH1,CGN,CLDN11,Cldn13,CLDN15,CLDN18,CLDN2,CLDN23,CLDN3,CLDN4,CLDN7,CLDN8,F11R,ITGA2,ITGA4,ITGA5,JAM2,JAM3,JUN,KEAP1,MAP2K1,MAP2K3,MAP2K4,MAP3K1,MAP3K12,MAP3K13,MAP3K15,MAP3K3,MAP3K4,MAP3K6,MAP3K8,MAPK11,MAPK13,MRAS,NOS2,NOS3,PRKACB,PRKAR1B,PRKG2,PTEN,RAC1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SORBS1,TJP2,TNF,TNFRSF1A,TUBA1B,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB2A,TUBB2B,TUBB3,TUBG1,VCL	
Role of PKR in Interferon Induction and Antiviral Response	5.94E00	4.1E-01	2.188	ATF2,ATF3,BID,CASP3,CASP8,DDX58,FAS,FOS,HSP90AB1,HSPA14,HSPA1A/HSPA1B,Hspa1b,HSPA1L,HSPA2,HSPA5,HSPA9,IFIH1,IFNAR2,IFNGR2,IKBKE,IKBKG,IL18,IRF1,IRF9,JUN,MAP2K3,MAP2K4,MAP2K6,MAPK11,MAPK13,MYD88,NFKB2,NFKBIA,NFKBIB,NFKBIE,PDGFA,PDGFC,PDGFRB,PYCARD,RELA,STAT1,STAT2,STAT3,TARBP2,TIRAP,TLR9,TNF,TNFRSF1A	
P2Y Purigenic Receptor Signaling Pathway	5.93E00	4.02E-01	-0.729	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AKT1,AKT2,AKT3,ATF2,ATF4,CREB3,CREB3L3,CREB3L4,FOS,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,JUN,MAP2K1,MRAS,NFKB2,NOTUM,P2RY1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PRKACB,PRKAR1B,PRKD3,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA	
AMPK Signaling	5.91E00	3.55E-01	-1.604	ACACB,ACTB,ADRA2A,ADRB2,AK1,AK2,AKT1,AKT2,AKT3,ARID2,ATF2,ATF4,CCND1,CDKN1A,CFTR,CHRM1,CHRM3,CHRNA2,CHRNB1,CHRNB2,CPT1B,CREB3,CREB3L3,CREB3L4,EIF4EBP1,ELAVL1,EPM2A,FOXO6,GNB1L,GYS1,INSR,IRS2,LIPE,MAP2K3,MAPK11,MAPK13,MRAS,MTOR,NOS3,PBRM1,PCK2,PFKFB2,PFKFB3,PFKP,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PPM1G,PPM1H,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PRKAA2,PRKACB,PRKAR1B,RAB22A,RAB7A,RAB8A,SIRT1,SLC2A1,SMARCA2,SMARCA4,SMARCD3,SMARCE1,TBC1D1,ULK1	
Glucocorticoid Receptor Signaling	5.88E00	3.24E-01	NaN	ACTB,ADRB2,AGT,AKT1,AKT2,AKT3,ARID2,BCL2,CCL5,CDKN1A,CEBPB,CREBZF,CSF2,ERCC3,FKBP4,FKBP5,FOS,GTF2A1,GTF2F1,GTF2F2,GTF2H4,HSP90AB1,HSPA14,HSPA1A/HSPA1B,Hspa1b,HSPA1L,HSPA2,HSPA5,HSPA9,ICAM1,IKBKE,IKBKG,JAK3,JUN,KRT15,KRT31,KRT35,KRT36,KRT7,KRT8,KRT83,MAP2K1,MAP2K4,MAP3K1,MAPK11,MAPK13,MRAS,NCOA2,NCOA3,NCOR1,NFAT5,NFATC1,NFATC3,NFATC4,NFKBIA,NFKBIB,NFKBIE,NOS2,NR3C1,NR3C2,NRIP1,PBRM1,PBX1,PCK1,PCK2,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,POLR2B,POLR2C,POLR2G,POLR2I,POU2F1,PPP3CA,PRKAA2,PRKACB,RAC1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,SERPINE1,SGK1,SMARCA2,SMARCA4,SMARCD3,SMARCE1,SOS2,SRA1,STAT1,STAT3,STAT5B,TAF1,TAF10,TAF2,TAF5L,TGFB1,TGFBR1,TNF,TRAF2,VIPR1,YWHAH	
UVA-Induced MAPK Signaling	5.87E00	4.29E-01	-1.633	ATM,CASP3,FOS,JUN,MAP2K4,MAPK11,MAPK13,MRAS,MTOR,NOTUM,PARP10,PARP11,PARP12,PARP14,PARP3,PARP8,PARP9,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,RALB,RAP2A,RAP2B,RASD1,RASD2,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,STAT1,TNKS	
IL-2 Signaling	5.86E00	4.92E-01	1.177	AKT1,AKT2,AKT3,CSNK2A2,FOS,IL2RB,IL2RG,JAK3,JUN,LCK,MAP2K1,MRAS,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTK2B,PTPN11,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SOCS1,SOS2,STAT5B	
NF-κB Signaling	5.86E00	3.69E-01	0.500	AKT1,AKT2,AKT3,BCL10,BMPR2,CARD11,CASP8,CD40,CSNK2A2,EGF,FGFR2,FGFR3,FGFR4,FLT4,GHR,HDAC1,IKBKG,IL18,INSR,LCK,LTA,LTBR,MALT1,MAP2K6,MAP3K1,MAP3K3,MAP3K8,MRAS,MYD88,NFKB2,NFKBIA,NFKBIB,NFKBIE,NTRK1,PDGFRB,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PRKACB,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,RELB,TGFBR1,TIRAP,TLR1,TLR2,TLR5,TLR9,TNF,TNFAIP3,TNFRSF11B,TNFRSF1A,TNFRSF1B,TNIP1,TRADD,TRAF2	
FAK Signaling	5.84E00	4.32E-01	NaN	ACTB,ACTG1,AKT1,AKT2,AKT3,CAPN2,CAPN5,CAPN7,CAPN8,CAPN9,CAPNS1,EGF,ITGA2,ITGA4,ITGA5,MAP2K1,MRAS,PAK1,PAK3,PAK4,PAK6,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PTEN,RAC1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SOS2,TLN2,TNS1,VCL	
Renin-Angiotensin Signaling	5.81E00	4.07E-01	0.493	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AGT,ATF2,CCL5,FOS,JUN,MAP2K1,MAP2K4,MAP3K1,MAPK11,MAPK13,MRAS,NFKB2,NOX1,PAK1,PAK3,PAK4,PAK6,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PRKACB,PRKAR1B,PRKD3,PTK2B,RAC1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,SHF,SOS2,STAT1,STAT3,TNF	
IL-6 Signaling	5.77E00	4E-01	1.769	ABCB1,AKT1,AKT2,AKT3,CD14,CEBPB,CSNK2A2,FOS,IKBKE,IKBKG,IL18,IL1RAP,JUN,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAPK11,MAPK13,MAPKAPK2,MRAS,NFKB2,NFKBIA,NFKBIB,NFKBIE,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTPN11,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,SOCS1,SOCS3,SOS2,SRF,STAT3,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B,TRAF2	
CD40 Signaling	5.67E00	4.77E-01	0.928	CD40,FOS,ICAM1,IKBKE,IKBKG,JAK3,JUN,LTA,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAPK11,MAPK13,MAPKAPK2,NFKB2,NFKBIA,NFKBIB,NFKBIE,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTGS1,RELA,STAT3,TNFAIP3,TRAF2	
Necroptosis Signaling Pathway	5.62E00	3.76E-01	4.296	BIRC3,CAMK2B,CAPN2,CAPN5,CAPN7,CAPN8,CAPN9,CAPNS1,CASP8,FAS,FKBP1A,IKBKG,IRF9,MERTK,MLKL,PLA2G12A,PLA2G1B,PLA2G4C,PLA2G5,PPP3CA,PYCARD,PYGL,RBCK1,RBL2,RIPK3,RNF31,SHARPIN,SLC25A4,SLC25A5,STAT1,STAT2,TICAM1,TIMM10,TIMM13,TIMM17A,TIMM22,TIMM23,TIMM44,TIMM50,TNF,TNFRSF10A,TNFRSF11B,TNFRSF1A,TNFRSF1B,TNFSF10,TNIP1,TOMM20,TOMM22,TOMM40,TOMM40L,Tomm5,TRADD,TRAF2,TRPM7,TSPO,UBC,VDAC1,VDAC2,ZBP1	
Regulation of Actin-based Motility by Rho	5.53E00	4.26E-01	2.466	ACTB,ARHGDIA,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5L,BAIAP2,CFL1,GSN,ITGA2,ITGA4,ITGA5,LIMK1,MYL10,MYL9,MYLK,MYLPF,PAK1,PAK3,PAK4,PAK6,PFN1,PFN2,PIKFYVE,PIP5K1A,Ppp1r12b,RAC1,RAC2,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,WASF1	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	5.53E00	4.26E-01	0.649	ACTB,ACTG1,AKT1,AKT2,AKT3,ARF6,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5L,CSF2,EZR,FGR,FYB1,GAB2,GPLD1,HCK,HMOX1,INPP5D,NAPEPLD,PAK1,PIK3CG,PIK3R1,PIK3R3,PIP5K1A,PLD1,PLD5,Pld6,PRKD3,PTEN,PTK2B,RAC1,RAC2,TLN2,VASP,VAV1,VAV3,YES1	
Melanocyte Development and Pigmentation Signaling	5.53E00	4.26E-01	-1.667	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,ATF2,ATF4,BCL2,CREB3,CREB3L3,CREB3L4,DCT,KIT,KITLG,MAP2K1,MRAS,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PRKACB,PRKAR1B,PTPN11,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,SH2B2,SOS2	
Leukocyte Extravasation Signaling	5.5E00	3.55E-01	-0.135	ACTB,ACTG1,ACTN4,ARHGAP6,ARHGAP8/PRR5-ARHGAP8,ARHGAP9,BMX,CLDN11,Cldn13,CLDN15,CLDN18,CLDN2,CLDN23,CLDN3,CLDN4,CLDN7,CLDN8,CTNNA3,CTNND1,EZR,F11R,GNAI1,GNAI2,ICAM1,ITGA2,ITGA4,ITGA5,ITGAM,JAM2,JAM3,MAP2K4,MAP3K4,MAPK11,MAPK13,MMP11,MMP15,MMP23B,MMP28,MMP7,MSN,NCF2,NOX1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PRKD3,PTK2B,PTPN11,RAC1,RAC2,RAP1GAP,RAPGEF3,RAPGEF4,RASSF5,RHOA,ROCK2,SIPA1,TEC,TIMP2,TIMP3,TXK,VASP,VAV1,VAV3,VCL	
Dendritic Cell Maturation	5.48E00	3.61E-01	2.032	AKT1,AKT2,AKT3,ATF2,ATF4,B2M,CCR7,CD1D,CD40,CD83,COL18A1,CREB3,CREB3L3,CREB3L4,CSF2,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,ICAM1,IKBKE,IKBKG,IL15,IL18,IRF8,LTA,LTB,LTBR,LY75,MAP2K4,MAPK11,MAPK13,MYD88,NFKB2,NFKBIA,NFKBIB,NFKBIE,NOTUM,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,RELA,RELB,STAT1,STAT2,TLR2,TLR9,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B,ZBTB12	
Ephrin Receptor Signaling	5.43E00	3.61E-01	1.786	AKT1,AKT2,AKT3,ARHGEF15,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5L,ATF2,ATF4,CFL1,CREB3,CREB3L3,CREB3L4,DOK1,EFNB2,EGF,EPHA2,EPHA4,EPHA7,FGF1,GNA14,GNA15,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,GRIN2D,GRINA,ITGA2,ITGA4,ITGA5,LIMK1,LIMK2,MAP2K1,MRAS,PAK1,PAK3,PAK4,PAK6,PDGFA,PDGFC,PGF,PIK3CG,PTPN11,PTPN13,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RASA1,RASD1,RASD2,RGS3,RHOA,ROCK2,SORBS1,SOS2,STAT3	
BEX2 Signaling Pathway	5.39E00	4.43E-01	0.000	AKT1,AKT2,AKT3,BAK1,BBC3,BCL2,CCND1,CDKN1A,HNF1A,JUN,KLK3,LEF1,LGALS1,LMO2,MAP2K4,MTOR,NFKB2,NFKBIA,PDGFC,PGF,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PTEN,RELA,STAT3,SWAP70,TCF4,TCF7L1	
TWEAK Signaling	5.38E00	5.71E-01	1.789	BAG4,BID,BIRC3,CASP3,CASP7,CASP8,IKBKE,IKBKG,NAIP,Naip1 (includes others),NFKB2,NFKBIA,NFKBIB,NFKBIE,RELA,TNFRSF12A,TNFSF12,TRADD,TRAF2,XIAP	
Induction of Apoptosis by HIV1	5.31E00	4.75E-01	3.157	BAK1,BBC3,BCL2,BID,BIRC3,CASP3,CASP8,DAXX,FAS,HTRA2,IKBKE,IKBKG,MAP2K4,NAIP,Naip1 (includes others),NFKB2,NFKBIA,NFKBIB,NFKBIE,RELA,SLC25A4,SLC25A5,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B,TRADD,TRAF2,XIAP	
Regulation of the Epithelial-Mesenchymal Transition Pathway	5.31E00	3.54E-01	NaN	AKT1,AKT2,AKT3,APC,BCL9,CDH1,CLDN3,EGF,EGR1,ETS1,FGF1,FGF14,FGFR2,FGFR3,FGFR4,FZD1,FZD2,FZD3,FZD6,HNF1A,ID2,JAG1,JAG2,JAK3,LEF1,MAP2K1,MAP2K3,MAP2K4,MAP2K6,mir-192,MRAS,NFKB2,NOTCH3,NOTCH4,PARD6A,PARD6B,PDGFRB,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PSEN1,PTPN11,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,RHOA,SMURF1,SNAI1,SNAI2,SOS2,STAT3,TCF4,TCF7L1,TGFB1,TGFBR1,WNT11,WNT2B,WNT4,WNT7B,WNT9B	
p70S6K Signaling	5.3E00	3.88E-01	-0.905	AGT,AKT1,AKT2,AKT3,CD79B,F2RL1,GNAI1,GNAI2,IL2RG,IL4R,MAP2K1,MRAS,MTOR,NOTUM,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PLD1,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PRKD3,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SFN,SOS2,YWHAE,YWHAG,YWHAH	
Relaxin Signaling	5.27E00	3.73E-01	-0.354	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AKT1,AKT2,AKT3,FOS,GDE1,GDPD1,GNA14,GNA15,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,GUCY2C,JUN,MAP2K1,MPPE1,MRAS,NAPEPLD,NFKB2,NFKBIA,NFKBIB,NFKBIE,NOS2,NOS3,PDE2A,PDE3A,PDE3B,PDE4A,PDE4B,PDE5A,PDE6D,PDE8A,PDE8B,PDE9A,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PRKACB,PRKAR1B,RELA,SLC39A7,SMPDL3A,SMPDL3B,TULP2	
Xenobiotic Metabolism CAR Signaling Pathway	5.26E00	3.54E-01	-3.787	ABCB1,ABCC1,ABCC2,ALDH1A1,ALDH1L1,ALDH3A2,ALDH4A1,ALDH5A1,ALDH6A1,CHST11,CHST15,CHST2,CYP1A1,CYP2B6,CYP2C8,CYP2C9,CYP3A5,FMO1,FMO2,FMO4,FMO5,GSTA3,GSTA5,GSTK1,GSTM1,GSTM2,Gstm3,GSTM4,GSTM5,Gstm6,HS3ST1,HS3ST3B1,HSP90AB1,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MGST2,MGST3,NOS2,NR1I3,NRIP1,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PRKD3,SCAND1,SRA1,SULT1B1,SULT1C2,Sult1d1,SULT4A1,UGT1A1,UGT1A3,UGT1A6,UGT1A8 (includes others),UGT2B10,UGT2B17,UGT2B28,UGT2B7,UST	
Tight Junction Signaling	5.22E00	3.63E-01	NaN	ACTB,ACTG1,AKT1,AKT2,AKT3,ARHGEF2,CGN,CLDN11,Cldn13,CLDN15,CLDN18,CLDN2,CLDN23,CLDN3,CLDN4,CLDN7,CLDN8,CPSF3,CPSF6,CSTF1,CSTF3,F11R,FOS,JAM2,JAM3,JUN,MYH14,MYH7B,MYL9,MYLK,NAPB,NFKB2,NSF,PARD6A,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PRKACB,PRKAR1B,PTEN,RAC1,RELA,RHOA,SMURF1,SNAP25,STX4,TGFB1,TGFBR1,TJP2,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B,VASP,VCL	
IL-9 Signaling	5.2E00	5.76E-01	0.471	BCL3,CISH,IL2RG,IRS2,JAK3,NFKB2,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,RELA,SOCS3,STAT1,STAT3,STAT5B,TNF	
