Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Prostate Cancer Signaling	4,27E-01	4,85E-02	NaN	AR,KLK3,IRS1,PIK3C3,AKT3
IL-17A Signaling in Airway Cells	4,2E-01	5E-02	1,000	IRS1,PIK3C3,AKT3,JAK3
Hematopoiesis from Multipotent Stem Cells	4,2E-01	8,33E-02	NaN	IL7
RANK Signaling in Osteoclasts	4,18E-01	4,81E-02	0,447	IRS1,MAP3K13,PIK3C3,AKT3,NFATC1
Inhibition of Angiogenesis by TSP1	4,15E-01	5,88E-02	NaN	FYN,AKT3
ErbB Signaling	4E-01	4,72E-02	-0,447	IRS1,PIK3C3,NRG4,PRKCH,PRKD3
TWEAK Signaling	3,99E-01	5,71E-02	NaN	Naip1 (includes others),TRAF1
Choline Biosynthesis III	3,94E-01	7,69E-02	NaN	CHPT1
Oleate Biosynthesis II (Animals)	3,94E-01	7,69E-02	NaN	FADS6
Glycogen Degradation II	3,94E-01	7,69E-02	NaN	PYGB
Cholecystokinin/Gastrin-mediated Signaling	3,93E-01	4,67E-02	-0,447	ITPR2,SST,PRKCH,RHOH,PRKD3
Apelin Pancreas Signaling Pathway	3,91E-01	5,08E-02	NaN	PRKACB,IRS1,PIK3C3
Non-Small Cell Lung Cancer Signaling	3,73E-01	4,71E-02	0,000	ITPR2,IRS1,PIK3C3,AKT3
Adipogenesis pathway	3,73E-01	4,48E-02	NaN	HAT1,BMP7,FZD1,FGFRL1,PER2,WNT5A
Dopamine Degradation	3,71E-01	5,41E-02	NaN	MAOB,ALDH7A1
Noradrenaline and Adrenaline Degradation	3,71E-01	5,41E-02	NaN	MAOB,ALDH7A1
Superpathway of Methionine Degradation	3,71E-01	5,41E-02	NaN	CBS/CBSL,PCCB
Induction of Apoptosis by HIV1	3,7E-01	4,92E-02	NaN	Naip1 (includes others),TNFRSF1B,TRAF1
Phenylalanine Degradation IV (Mammalian, via Side Chain)	3,7E-01	7,14E-02	NaN	MAOB
Colanic Acid Building Blocks Biosynthesis	3,7E-01	7,14E-02	NaN	GALK1
Wnt/Ca+ pathway	3,6E-01	4,84E-02	NaN	FZD1,NFATC1,WNT5A
IL-6 Signaling	3,59E-01	4,41E-02	1,342	IRS1,PIK3C3,AKT3,CD14,TNFRSF1B,IL18RAP
Antiproliferative Role of Somatostatin Receptor 2	3,55E-01	4,6E-02	0,000	IRS1,PIK3C3,GNG2,SST
Small Cell Lung Cancer Signaling	3,55E-01	4,6E-02	1,000	IRS1,PIK3C3,AKT3,TRAF1
Melanoma Signaling	3,5E-01	4,76E-02	NaN	IRS1,PIK3C3,AKT3
Telomere Extension by Telomerase	3,48E-01	6,67E-02	NaN	TERF1
Glycogen Degradation III	3,48E-01	6,67E-02	NaN	PYGB
IGF-1 Signaling	3,45E-01	4,42E-02	1,000	PRKACB,IRS1,PIK3C3,AKT3,CYR61
April Mediated Signaling	3,44E-01	5,13E-02	NaN	NFATC1,TRAF1
Mouse Embryonic Stem Cell Pluripotency	3,38E-01	4,39E-02	0,447	IRS1,PIK3C3,AKT3,FZD1,JAK3
Pyridoxal 5'-phosphate Salvage Pathway	3,3E-01	4,62E-02	NaN	PDXK,DAPK1,PRKCH
Granzyme B Signaling	3,27E-01	6,25E-02	NaN	PRF1
Extrinsic Prothrombin Activation Pathway	3,27E-01	6,25E-02	NaN	TFPI
B Cell Activating Factor Signaling	3,2E-01	4,88E-02	NaN	NFATC1,TRAF1
Tight Junction Signaling	3,16E-01	4,17E-02	NaN	PRKACB,CLDN4,AKT3,TNFRSF1B,CNKSR3,CLDN6,ACTA1
Intrinsic Prothrombin Activation Pathway	3,09E-01	4,76E-02	NaN	KLK3,COL18A1
Retinol Biosynthesis	3,09E-01	4,76E-02	NaN	PNLIPRP2,PNLIPRP1
Dermatan Sulfate Degradation (Metazoa)	3,08E-01	5,88E-02	NaN	FGFRL1
TGF-β Signaling	3,07E-01	4,3E-02	NaN	INHA,RUNX2,BMP7,ACVR1C
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	2,98E-01	4,65E-02	NaN	IFNG,CCL5
IL-10 Signaling	2,94E-01	4,35E-02	NaN	IL4R,CD14,IL18RAP
Remodeling of Epithelial Adherens Junctions	2,94E-01	4,35E-02	NaN	DNM1,ACTN2,ACTA1
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	2,92E-01	5,56E-02	NaN	CCL5
Valine Degradation I	2,92E-01	5,56E-02	NaN	ABAT
Insulin Receptor Signaling	2,9E-01	4,08E-02	0,816	PRKACB,FYN,IRS1,PIK3C3,AKT3,PTPRF
Stearate Biosynthesis I (Animals)	2,87E-01	4,55E-02	NaN	ACSBG1,ACSL6
Role of IL-17A in Arthritis	2,87E-01	4,29E-02	NaN	IRS1,PIK3C3,CCL5
Superpathway of Melatonin Degradation	2,87E-01	4,29E-02	NaN	MAOB,CYP2J2,CYP2C8
Apoptosis Signaling	2,86E-01	4,17E-02	0,000	Naip1 (includes others),TNFRSF1B,BCL2A1,BCL2L11
Phagosome Maturation	2,84E-01	4,05E-02	NaN	CTSV,HLA-A,PIK3C3,TAP1,NOX1,HLA-DRB5
CNTF Signaling	2,78E-01	4,23E-02	NaN	IRS1,PIK3C3,STAT1
Histamine Degradation	2,76E-01	5,26E-02	NaN	ALDH7A1
DNA damage-induced 14-3-3σ Signaling	2,76E-01	5,26E-02	NaN	AKT3
Endometrial Cancer Signaling	2,71E-01	4,17E-02	NaN	IRS1,PIK3C3,AKT3
HIF1α Signaling	2,61E-01	3,97E-02	NaN	MMP28,IRS1,PIK3C3,AKT3,SLC2A3
Cardiomyocyte Differentiation via BMP Receptors	2,6E-01	5E-02	NaN	BMP7
nNOS Signaling in Neurons	2,58E-01	4,26E-02	NaN	PRKCH,PRKD3
Triacylglycerol Biosynthesis	2,58E-01	4,26E-02	NaN	LPCAT2,PPP2R2D
Ceramide Signaling	2,53E-01	3,96E-02	0,000	IRS1,PIK3C3,AKT3,TNFRSF1B
PPAR Signaling	2,53E-01	3,96E-02	0,000	NCOR2,TNFRSF1B,PDGFB,IL18RAP
Maturity Onset Diabetes of Young (MODY) Signaling	2,47E-01	4,76E-02	NaN	CACNA1A
Oxidative Ethanol Degradation III	2,47E-01	4,76E-02	NaN	ALDH7A1
UVC-Induced MAPK Signaling	2,4E-01	4,08E-02	NaN	PRKCH,PRKD3
Fatty Acid α-oxidation	2,34E-01	4,55E-02	NaN	ALDH7A1
Apelin Cardiac Fibroblast Signaling Pathway	2,34E-01	4,55E-02	NaN	AKT3
Amyloid Processing	2,24E-01	3,92E-02	NaN	PRKACB,AKT3
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	2,22E-01	4,35E-02	NaN	IFNG
TCA Cycle II (Eukaryotic)	2,11E-01	4,17E-02	NaN	OGDHL
Cysteine Biosynthesis III (mammalia)	2,11E-01	4,17E-02	NaN	CBS/CBSL
IL-17A Signaling in Gastric Cells	2,01E-01	4E-02	NaN	CCL5
Role of JAK family kinases in IL-6-type Cytokine Signaling	2,01E-01	4E-02	NaN	STAT1
CDP-diacylglycerol Biosynthesis I	2,01E-01	4E-02	NaN	LPCAT2
Ethanol Degradation IV	2,01E-01	4E-02	NaN	ALDH7A1
NRF2-mediated Oxidative Stress Response	-0E00	3,47E-02	NaN	GSR,GSTM1,IRS1,PIK3C3,PRKCH,PRKD3,ACTA1
Aryl Hydrocarbon Receptor Signaling	-0E00	2,82E-02	NaN	GSTM1,DCT,NCOR2,ALDH7A1
Mitochondrial Dysfunction	-0E00	1,75E-02	NaN	GSR,MAOB,COX6B2
Role of BRCA1 in DNA Damage Response	-0E00	2,5E-02	NaN	IFNG,STAT1
14-3-3-mediated Signaling	-0E00	3,6E-02	0,447	IRS1,PIK3C3,AKT3,PRKCH,PRKD3
Activation of IRF by Cytosolic Pattern Recognition Receptors	-0E00	3,17E-02	NaN	ZBP1,STAT1
CD27 Signaling in Lymphocytes	-0E00	1,89E-02	NaN	MAP3K13
IL-17 Signaling	-0E00	3,23E-02	NaN	IRS1,PIK3C3,AKT3
4-1BB Signaling in T Lymphocytes	-0E00	3,12E-02	NaN	TRAF1
Role of Cytokines in Mediating Communication between Immune Cells	-0E00	1,85E-02	NaN	IFNG
Lipid Antigen Presentation by CD1	-0E00	3,85E-02	NaN	CD3E
Mitotic Roles of Polo-Like Kinase	-0E00	1,52E-02	NaN	PLK2
DNA Methylation and Transcriptional Repression Signaling	-0E00	2,94E-02	NaN	DNMT3A
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	-0E00	2,17E-02	NaN	SPP1
Germ Cell-Sertoli Cell Junction Signaling	-0E00	3,89E-02	NaN	MAP3K13,IRS1,ACTN2,MYO7A,PIK3C3,RHOH,ACTA1
Aldosterone Signaling in Epithelial Cells	-0E00	3,45E-02	-0,447	Dnajb3,ITPR2,IRS1,PIK3C3,PRKCH,PRKD3
Acute Myeloid Leukemia Signaling	-0E00	3,03E-02	NaN	IRS1,PIK3C3,AKT3
Thyroid Cancer Signaling	-0E00	2,17E-02	NaN	KLK3
Bladder Cancer Signaling	-0E00	3,19E-02	NaN	FGF16,DAPK1,MMP28
Chronic Myeloid Leukemia Signaling	-0E00	2,65E-02	NaN	IRS1,PIK3C3,AKT3
Gα12/13 Signaling	-0E00	2,8E-02	1,000	F2R,IRS1,PIK3C3,AKT3
ERK5 Signaling	-0E00	1,45E-02	NaN	SH2D2A
mTOR Signaling	-0E00	2,88E-02	0,816	IRS1,PIK3C3,AKT3,PRKCH,RHOH,PRKD3
Myc Mediated Apoptosis Signaling	-0E00	3,9E-02	NaN	IRS1,PIK3C3,AKT3
EIF2 Signaling	-0E00	2,62E-02	0,447	MYCN,IRS1,PIK3C3,AKT3,Rpl22l1,ACTA1
AMPK Signaling	-0E00	2,74E-02	0,447	PRKACB,AK1,IRS1,PIK3C3,AKT3,PFKFB2
Hereditary Breast Cancer Signaling	-0E00	3,29E-02	NaN	UBD,NPM1,IRS1,PIK3C3,AKT3
Regulation of eIF4 and p70S6K Signaling	-0E00	3,03E-02	1,342	IRS1,PIK3C3,AKT3,ITGA5,ITGA4
TNFR1 Signaling	-0E00	2E-02	NaN	Naip1 (includes others)
NGF Signaling	-0E00	3,2E-02	0,000	MAP3K13,IRS1,PIK3C3,AKT3
Ephrin B Signaling	-0E00	2,78E-02	NaN	GNAO1,GNG2
Heparan Sulfate Biosynthesis	-0E00	1,2E-02	NaN	PPME1
Nicotine Degradation III	-0E00	3,57E-02	NaN	CYP2J2,CYP2C8
Heparan Sulfate Biosynthesis (Late Stages)	-0E00	1,32E-02	NaN	PPME1
Melatonin Degradation I	-0E00	3,08E-02	NaN	CYP2J2,CYP2C8
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	-0E00	3,7E-02	NaN	PIP4K2A
Chondroitin Sulfate Biosynthesis	-0E00	1,75E-02	NaN	CHPF
Dermatan Sulfate Biosynthesis	-0E00	1,69E-02	NaN	CHPF
tRNA Charging	-0E00	2,56E-02	NaN	KARS
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	-0E00	3,7E-02	NaN	LPCAT2
Nicotine Degradation II	-0E00	3,08E-02	NaN	CYP2J2,CYP2C8
Serotonin Degradation	-0E00	2,7E-02	NaN	MAOB,ALDH7A1
Chondroitin Sulfate Biosynthesis (Late Stages)	-0E00	2,04E-02	NaN	CHPF
Ethanol Degradation II	-0E00	2,94E-02	NaN	ALDH7A1
PEDF Signaling	-0E00	3,16E-02	NaN	IRS1,PIK3C3,AKT3
UVA-Induced MAPK Signaling	-0E00	3,54E-02	NaN	IRS1,PIK3C3,PARP3,STAT1
Oxidative Phosphorylation	-0E00	9,17E-03	NaN	COX6B2
HIPPO signaling	-0E00	1,18E-02	NaN	WWC1
Unfolded protein response	-0E00	1,79E-02	NaN	PDIA2
Estrogen Receptor Signaling	-0E00	3,73E-02	NaN	MED12L,RUNX2,SPEN,NCOR2,PCK1
PI3K/AKT Signaling	-0E00	3,1E-02	2,000	AKT3,ITGA5,JAK3,ITGA4
Xenobiotic Metabolism Signaling	-0E00	3,68E-02	NaN	GSTM1,MAOB,IRS1,MAP3K13,PIK3C3,PRKCH,NCOR2,PRKD3,CAMK2B,ALDH7A1,CYP2C8
Phototransduction Pathway	-0E00	1,89E-02	NaN	PRKACB
Chemokine Signaling	-0E00	3,9E-02	NaN	CCL5,NOX1,CAMK2B
Neurotrophin/TRK Signaling	-0E00	3,57E-02	NaN	KLK3,IRS1,PIK3C3
Sonic Hedgehog Signaling	-0E00	3,33E-02	NaN	PRKACB
autophagy	-0E00	3,28E-02	NaN	CTSV,PIK3C3
Cancer Drug Resistance By Drug Efflux	-0E00	1,82E-02	NaN	AKT3
Sirtuin Signaling Pathway	-0E00	2,05E-02	-1,000	MYCN,NDRG1,GLS,G6PD,PCK1,BCL2L11
NER Pathway	-0E00	9,71E-03	NaN	POLE3
